a,b,n,x_dist,rep,lineup_id
0,64,100,lognormal,2,462
1,64,100,lognormal,2,482
0,0,300,lognormal,2,526
-1,0.25,300,lognormal,2,415
0,0.25,300,lognormal,2,17
1,0.25,300,lognormal,2,503
-1,1,300,lognormal,2,554
0,1,300,lognormal,2,302
1,1,300,lognormal,2,96
-1,4,300,lognormal,2,171
0,4,300,lognormal,2,511
1,4,300,lognormal,2,475
-1,16,300,lognormal,2,31
0,16,300,lognormal,2,156
1,16,300,lognormal,2,532
-1,64,300,lognormal,2,134
0,64,300,lognormal,2,423
1,64,300,lognormal,2,234
0,0,50,even_discrete,2,295
-1,0.25,50,even_discrete,2,253
0,0.25,50,even_discrete,2,450
1,0.25,50,even_discrete,2,98
-1,1,50,even_discrete,2,268
0,1,50,even_discrete,2,361
1,1,50,even_discrete,2,502
-1,4,50,even_discrete,2,158
0,4,50,even_discrete,2,231
1,4,50,even_discrete,2,499
-1,16,50,even_discrete,2,513
0,16,50,even_discrete,2,528
1,16,50,even_discrete,2,548
-1,64,50,even_discrete,2,243
0,64,50,even_discrete,2,550
1,64,50,even_discrete,2,7
0,0,100,even_discrete,2,478
-1,0.25,100,even_discrete,2,89
0,0.25,100,even_discrete,2,136
1,0.25,100,even_discrete,2,563
-1,1,100,even_discrete,2,458
0,1,100,even_discrete,2,292
1,1,100,even_discrete,2,373
-1,4,100,even_discrete,2,267
0,4,100,even_discrete,2,56
1,4,100,even_discrete,2,8
-1,16,100,even_discrete,2,66
0,16,100,even_discrete,2,416
1,16,100,even_discrete,2,58
-1,64,100,even_discrete,2,487
0,64,100,even_discrete,2,504
1,64,100,even_discrete,2,560
0,0,300,even_discrete,2,69
-1,0.25,300,even_discrete,2,369
0,0.25,300,even_discrete,2,138
1,0.25,300,even_discrete,2,363
-1,1,300,even_discrete,2,30
0,1,300,even_discrete,2,233
1,1,300,even_discrete,2,33
-1,4,300,even_discrete,2,376
0,4,300,even_discrete,2,145
1,4,300,even_discrete,2,467
-1,16,300,even_discrete,2,519
0,16,300,even_discrete,2,22
1,16,300,even_discrete,2,175
-1,64,300,even_discrete,2,140
0,64,300,even_discrete,2,94
1,64,300,even_discrete,2,228
0,0,50,uniform,3,211
-1,0.25,50,uniform,3,84
0,0.25,50,uniform,3,322
1,0.25,50,uniform,3,512
-1,1,50,uniform,3,330
0,1,50,uniform,3,387
1,1,50,uniform,3,360
-1,4,50,uniform,3,4
0,4,50,uniform,3,350
1,4,50,uniform,3,285
-1,16,50,uniform,3,51
0,16,50,uniform,3,537
1,16,50,uniform,3,257
-1,64,50,uniform,3,229
0,64,50,uniform,3,331
1,64,50,uniform,3,445
0,0,100,uniform,3,172
-1,0.25,100,uniform,3,454
0,0.25,100,uniform,3,126
1,0.25,100,uniform,3,105
-1,1,100,uniform,3,180
0,1,100,uniform,3,545
1,1,100,uniform,3,67
-1,4,100,uniform,3,226
0,4,100,uniform,3,527
1,4,100,uniform,3,347
-1,16,100,uniform,3,442
0,16,100,uniform,3,311
1,16,100,uniform,3,457
-1,64,100,uniform,3,299
0,64,100,uniform,3,434
1,64,100,uniform,3,287
0,0,300,uniform,3,128
-1,0.25,300,uniform,3,408
0,0.25,300,uniform,3,189
1,0.25,300,uniform,3,124
-1,1,300,uniform,3,99
0,1,300,uniform,3,61
1,1,300,uniform,3,54
-1,4,300,uniform,3,471
0,4,300,uniform,3,489
1,4,300,uniform,3,485
-1,16,300,uniform,3,378
0,16,300,uniform,3,524
1,16,300,uniform,3,433
-1,64,300,uniform,3,414
0,64,300,uniform,3,305
1,64,300,uniform,3,389
0,0,50,normal,3,474
-1,0.25,50,normal,3,565
0,0.25,50,normal,3,318
1,0.25,50,normal,3,567
-1,1,50,normal,3,562
0,1,50,normal,3,395
