subject,lineup_id,order,a,b,n,x_dist,rep
91,320,1,-1,0.25,100,lognormal,3
92,323,4,-1,64,50,uniform,1
93,108,13,-1,0.25,50,even_discrete,3
94,573,10,0,1,50,uniform,2
95,413,14,-1,4,50,normal,2
96,533,3,-1,1,100,normal,3
97,432,14,1,4,50,even_discrete,3
98,414,9,-1,64,300,uniform,3
99,415,3,-1,0.25,300,lognormal,2
100,542,7,-1,4,300,lognormal,3
101,434,4,0,64,100,uniform,3
102,517,3,-1,16,300,normal,1
103,485,8,1,4,300,uniform,3
104,179,4,-1,0.25,300,uniform,1
105,361,12,0,1,50,even_discrete,2
106,309,3,-1,16,50,even_discrete,1
107,362,10,0,16,100,lognormal,2
108,152,19,0,0,100,even_discrete,1
109,179,20,-1,0.25,300,uniform,1
110,434,18,0,64,100,uniform,3
111,141,1,-1,16,50,lognormal,2
112,337,4,-1,64,50,lognormal,2
113,559,12,0,16,300,normal,1
114,454,20,-1,0.25,100,uniform,3
115,65,6,0,64,100,normal,2
116,321,16,-1,1,50,lognormal,3
117,412,16,0,0.25,50,lognormal,1
118,111,11,1,16,100,normal,1
119,475,6,1,4,300,lognormal,2
120,461,9,-1,0.25,100,normal,2
121,74,4,-1,1,300,uniform,2
122,322,8,0,0.25,50,uniform,3
123,24,3,-1,16,50,normal,2
124,262,11,0,0,300,lognormal,3
125,472,18,-1,0.25,50,lognormal,2
126,119,10,0,0,50,even_discrete,3
127,386,9,0,0,100,uniform,1
128,102,13,1,4,300,normal,3
129,39,15,1,1,50,lognormal,2
130,40,11,1,16,50,even_discrete,3
131,13,5,1,16,300,normal,3
132,575,8,0,16,300,uniform,1
133,78,14,1,1,50,lognormal,1
134,372,18,1,4,100,normal,1
135,337,2,-1,64,50,lognormal,2
136,193,18,1,4,300,lognormal,1
137,530,8,-1,1,100,uniform,2
138,252,15,-1,64,100,uniform,1
139,20,12,0,1,300,normal,2
140,268,15,-1,1,50,even_discrete,2
141,374,9,1,64,300,normal,2
142,217,15,1,4,50,normal,1
143,127,3,-1,0.25,300,uniform,2
144,1,6,-1,0.25,300,even_discrete,3
145,35,16,1,0.25,300,normal,3
146,403,15,0,64,100,normal,3
147,41,4,-1,4,50,uniform,2
148,364,6,0,0.25,100,normal,3
149,217,5,1,4,50,normal,1
150,187,10,1,4,100,lognormal,2
151,493,12,1,1,100,lognormal,2
152,164,17,1,64,50,normal,3
153,323,16,-1,64,50,uniform,1
154,190,6,1,0.25,300,lognormal,1
155,34,8,-1,16,100,normal,2
156,154,10,0,16,50,even_discrete,1
157,441,3,0,0.25,50,lognormal,2
158,86,4,0,0.25,50,uniform,2
159,557,7,1,0.25,300,uniform,1
160,315,6,1,16,50,normal,1
1,457,10,1,16,100,uniform,3
2,118,20,0,4,100,normal,3
3,201,11,-1,16,300,normal,2
4,72,4,1,16,300,uniform,2
5,33,8,1,1,300,even_discrete,2
6,538,15,-1,64,300,lognormal,1
7,249,8,0,0,300,lognormal,1
8,249,16,0,0,300,lognormal,1
9,40,19,1,16,50,even_discrete,3
10,307,3,1,64,50,lognormal,2
11,333,4,0,16,100,uniform,1
12,238,3,-1,0.25,300,normal,2
13,432,12,1,4,50,even_discrete,3
14,41,5,-1,4,50,uniform,2
15,359,9,0,0,300,even_discrete,1
16,536,17,1,16,50,lognormal,3
17,232,20,1,0.25,50,uniform,2
18,451,18,-1,0.25,100,lognormal,1
19,512,5,1,0.25,50,uniform,3
20,209,6,0,0,300,normal,1
21,526,4,0,0,300,lognormal,2
22,114,19,0,0,100,even_discrete,3
23,294,12,1,16,50,lognormal,2
24,80,7,1,64,300,lognormal,3
25,326,5,1,1,300,uniform,2
26,161,2,-1,4,50,even_discrete,3
27,119,18,0,0,50,even_discrete,3
28,289,5,-1,64,300,normal,3
29,287,7,1,64,100,uniform,3
30,70,7,1,16,300,even_discrete,3
31,554,16,-1,1,300,lognormal,2
32,556,18,0,16,50,normal,3
33,174,18,1,16,300,lognormal,1
34,494,16,-1,0.25,100,uniform,1
35,391,9,-1,4,300,even_discrete,1
36,199,20,-1,0.25,50,uniform,1
37,507,19,1,1,100,even_discrete,3
38,218,15,0,64,100,uniform,1
39,407,19,0,0.25,300,lognormal,3
40,58,17,1,16,100,even_discrete,2
41,563,15,1,0.25,100,even_discrete,2
42,446,6,-1,4,300,even_discrete,3
43,51,13,-1,16,50,uniform,3
44,308,18,1,0.25,300,normal,1
45,454,4,-1,0.25,100,uniform,3
46,560,3,1,64,100,even_discrete,2
47,395,3,0,1,50,normal,3
48,463,14,-1,4,50,normal,1
49,109,1,1,16,100,lognormal,2
50,466,5,1,16,50,lognormal,1
51,300,5,0,4,50,normal,3
52,29,7,0,0.25,50,even_discrete,3
53,89,10,-1,0.25,100,even_discrete,2
54,564,3,1,64,50,uniform,1
55,85,5,0,4,50,lognormal,1
56,289,12,-1,64,300,normal,3
57,44,5,1,16,300,even_discrete,1
58,153,13,1,64,100,normal,1
59,443,9,0,64,50,lognormal,3
60,376,12,-1,4,300,even_discrete,2
61,280,5,1,4,100,even_discrete,3
62,241,1,1,16,100,normal,3
63,166,3,-1,0.25,50,lognormal,3
64,473,19,-1,4,100,even_discrete,3
65,28,7,-1,4,50,lognormal,3
66,408,15,-1,0.25,300,uniform,3
67,50,7,-1,64,100,normal,3
68,486,16,0,64,50,even_discrete,1
69,357,9,1,1,50,even_discrete,3
70,413,13,-1,4,50,normal,2
71,26,19,-1,1,300,lognormal,1
72,447,20,-1,1,50,uniform,1
73,1,17,-1,0.25,300,even_discrete,3
74,519,18,-1,16,300,even_discrete,2
75,274,20,-1,64,100,even_discrete,3
76,438,1,1,4,100,even_discrete,1
77,508,9,-1,16,300,uniform,2
78,239,17,0,0.25,100,uniform,2
79,103,5,-1,1,300,normal,2
80,514,15,0,0.25,100,lognormal,1
81,546,16,0,64,50,normal,1
82,349,5,-1,4,100,even_discrete,1
