real_lineup_id,a,b,n,x_dist,shape,e_sigma,limit_num
poly_142,"NA","NA",100,uniform,4,1,6
poly_144,"NA","NA",100,uniform,1,1,6
poly_15,"NA","NA",300,uniform,2,2,6
poly_154,"NA","NA",300,uniform,4,4,6
poly_158,"NA","NA",100,uniform,4,4,6
poly_159,"NA","NA",300,uniform,1,4,6
poly_161,"NA","NA",100,uniform,4,4,6
poly_163,"NA","NA",100,uniform,2,2,6
poly_166,"NA","NA",50,uniform,2,2,6
poly_167,"NA","NA",50,uniform,4,2,6
poly_183,"NA","NA",50,uniform,1,2,6
poly_185,"NA","NA",100,uniform,1,4,6
poly_186,"NA","NA",50,uniform,2,4,6
poly_191,"NA","NA",100,uniform,3,1,6
poly_195,"NA","NA",300,uniform,3,2,6
poly_196,"NA","NA",300,uniform,4,0.5,6
poly_198,"NA","NA",50,uniform,4,4,6
poly_199,"NA","NA",50,uniform,2,0.5,6
poly_200,"NA","NA",50,uniform,1,0.5,6
poly_202,"NA","NA",300,uniform,4,4,6
poly_210,"NA","NA",100,uniform,1,2,6
poly_211,"NA","NA",50,uniform,1,0.5,6
poly_216,"NA","NA",300,uniform,3,1,6
poly_217,"NA","NA",300,uniform,2,1,6
poly_221,"NA","NA",100,uniform,3,1,6
poly_230,"NA","NA",100,uniform,1,4,6
poly_231,"NA","NA",300,uniform,1,4,6
poly_232,"NA","NA",50,uniform,4,0.5,6
poly_236,"NA","NA",100,uniform,2,2,6
poly_24,"NA","NA",300,uniform,3,1,6
poly_242,"NA","NA",100,uniform,4,2,6
poly_245,"NA","NA",100,uniform,1,2,6
poly_247,"NA","NA",50,uniform,1,4,6
poly_251,"NA","NA",50,uniform,4,0.5,6
poly_253,"NA","NA",50,uniform,2,4,6
poly_256,"NA","NA",100,uniform,2,1,6
poly_263,"NA","NA",300,uniform,4,2,6
poly_268,"NA","NA",100,uniform,1,4,6
poly_269,"NA","NA",50,uniform,4,1,6
poly_270,"NA","NA",50,uniform,3,0.5,6
poly_276,"NA","NA",300,uniform,1,2,6
poly_278,"NA","NA",100,uniform,3,1,6
poly_28,"NA","NA",100,uniform,4,2,6
poly_283,"NA","NA",50,uniform,4,2,6
poly_285,"NA","NA",300,uniform,2,0.5,6
poly_286,"NA","NA",50,uniform,3,1,6
poly_29,"NA","NA",50,uniform,3,4,6
poly_290,"NA","NA",300,uniform,2,2,6
poly_295,"NA","NA",50,uniform,1,4,6
poly_3,"NA","NA",300,uniform,1,4,6
poly_300,"NA","NA",300,uniform,1,1,6
poly_301,"NA","NA",100,uniform,3,4,6
poly_309,"NA","NA",300,uniform,3,4,6
poly_318,"NA","NA",50,uniform,3,1,6
poly_321,"NA","NA",100,uniform,1,2,6
poly_322,"NA","NA",50,uniform,3,0.5,6
poly_329,"NA","NA",300,uniform,1,1,6
poly_330,"NA","NA",100,uniform,1,0.5,6
poly_339,"NA","NA",300,uniform,3,0.5,6
poly_341,"NA","NA",300,uniform,1,2,6
poly_342,"NA","NA",100,uniform,4,2,6
poly_343,"NA","NA",300,uniform,3,0.5,6
poly_350,"NA","NA",300,uniform,1,0.5,6
poly_354,"NA","NA",300,uniform,3,4,6
poly_355,"NA","NA",300,uniform,4,1,6
poly_357,"NA","NA",100,uniform,3,4,6
poly_360,"NA","NA",100,uniform,3,0.5,6
poly_361,"NA","NA",100,uniform,2,4,6
poly_365,"NA","NA",300,uniform,4,0.5,6
poly_370,"NA","NA",50,uniform,1,0.5,6
poly_371,"NA","NA",100,uniform,2,2,6
poly_379,"NA","NA",300,uniform,1,0.5,6
poly_387,"NA","NA",100,uniform,2,0.5,6
poly_39,"NA","NA",100,uniform,3,2,6
poly_390,"NA","NA",50,uniform,1,1,6
poly_392,"NA","NA",300,uniform,4,2,6
poly_395,"NA","NA",100,uniform,2,1,6
poly_396,"NA","NA",100,uniform,2,1,6
poly_4,"NA","NA",100,uniform,4,0.5,6
poly_404,"NA","NA",300,uniform,2,1,6
poly_41,"NA","NA",100,uniform,4,0.5,6
poly_412,"NA","NA",50,uniform,3,2,6
poly_413,"NA","NA",100,uniform,4,1,6
poly_42,"NA","NA",50,uniform,4,1,6
poly_421,"NA","NA",50,uniform,2,0.5,6
poly_422,"NA","NA",300,uniform,2,1,6
poly_428,"NA","NA",50,uniform,4,4,6
poly_432,"NA","NA",300,uniform,2,4,6
poly_441,"NA","NA",50,uniform,3,2,6
poly_447,"NA","NA",100,uniform,1,0.5,6
poly_450,"NA","NA",50,uniform,3,4,6
poly_453,"NA","NA",300,uniform,4,2,6
poly_455,"NA","NA",50,uniform,1,1,6
poly_463,"NA","NA",100,uniform,4,1,6
poly_465,"NA","NA",100,uniform,2,4,6
poly_469,"NA","NA",50,uniform,2,1,6
poly_472,"NA","NA",50,uniform,2,2,6
poly_474,"NA","NA",50,uniform,1,1,6
poly_483,"NA","NA",50,uniform,1,2,6
poly_491,"NA","NA",50,uniform,2,1,6
poly_495,"NA","NA",50,uniform,2,2,6
poly_499,"NA","NA",300,uniform,2,4,6
poly_5,"NA","NA",100,uniform,1,0.5,6
poly_502,"NA","NA",100,uniform,3,4,6
poly_505,"NA","NA",300,uniform,2,0.5,6
poly_506,"NA","NA",100,uniform,3,0.5,6
poly_509,"NA","NA",300,uniform,2,4,6
poly_51,"NA","NA",300,uniform,3,0.5,6
poly_512,"NA","NA",50,uniform,4,0.5,6
poly_513,"NA","NA",300,uniform,3,4,6
poly_518,"NA","NA",50,uniform,3,4,6
poly_52,"NA","NA",100,uniform,4,0.5,6
poly_525,"NA","NA",100,uniform,2,4,6
poly_528,"NA","NA",300,uniform,4,4,6
poly_529,"NA","NA",300,uniform,4,1,6
poly_535,"NA","NA",50,uniform,3,1,6
poly_537,"NA","NA",300,uniform,4,0.5,6
poly_544,"NA","NA",100,uniform,2,0.5,6
poly_556,"NA","NA",300,uniform,4,1,6
poly_562,"NA","NA",100,uniform,1,1,6
poly_565,"NA","NA",50,uniform,2,1,6
poly_567,"NA","NA",50,uniform,4,1,6
poly_570,"NA","NA",300,uniform,3,1,6
poly_573,"NA","NA",100,uniform,2,0.5,6
poly_574,"NA","NA",300,uniform,1,1,6
poly_6,"NA","NA",100,uniform,1,1,6
poly_73,"NA","NA",50,uniform,4,2,6
poly_78,"NA","NA",100,uniform,3,2,6
poly_83,"NA","NA",100,uniform,3,0.5,6
poly_84,"NA","NA",50,uniform,2,0.5,6
poly_85,"NA","NA",300,uniform,1,2,6
poly_86,"NA","NA",50,uniform,3,0.5,6
poly_88,"NA","NA",100,uniform,3,2,6
poly_98,"NA","NA",50,uniform,4,4,6
