subject,unique_lineup_id,order,a,b,n,x_dist,shape,e_sigma,limit_num
90,poly_28,15,"NA","NA",100,uniform,4,2,6
91,poly_269,2,"NA","NA",50,uniform,4,1,6
92,heter_454,8,-1,0.25,100,uniform,"NA",1,6
93,poly_196,20,"NA","NA",300,uniform,4,0.5,6
94,poly_154,18,"NA","NA",300,uniform,4,4,6
95,heter_445,1,1,64,50,uniform,"NA",1,6
96,poly_251,4,"NA","NA",50,uniform,4,0.5,6
97,poly_295,13,"NA","NA",50,uniform,1,4,6
98,heter_288,10,-1,16,100,uniform,"NA",1,6
99,poly_283,14,"NA","NA",50,uniform,4,2,6
100,poly_85,3,"NA","NA",300,uniform,1,2,6
101,poly_276,14,"NA","NA",300,uniform,1,2,6
102,poly_84,9,"NA","NA",50,uniform,2,0.5,6
103,poly_322,3,"NA","NA",50,uniform,3,0.5,6
104,poly_4,7,"NA","NA",100,uniform,4,0.5,6
105,poly_110,4,"NA","NA",300,uniform,2,0.5,6
106,poly_236,3,"NA","NA",100,uniform,2,2,6
107,poly_505,8,"NA","NA",300,uniform,2,0.5,6
108,poly_556,4,"NA","NA",300,uniform,4,1,6
109,heter_296,12,1,16,50,uniform,"NA",1,6
110,poly_195,3,"NA","NA",300,uniform,3,2,6
111,poly_573,10,"NA","NA",100,uniform,2,0.5,6
112,poly_28,19,"NA","NA",100,uniform,4,2,6
113,poly_154,20,"NA","NA",300,uniform,4,4,6
114,heter_51,18,-1,16,50,uniform,"NA",1,6
115,poly_330,1,"NA","NA",100,uniform,1,0.5,6
116,poly_329,4,"NA","NA",300,uniform,1,1,6
117,poly_4,12,"NA","NA",100,uniform,4,0.5,6
118,poly_390,20,"NA","NA",50,uniform,1,1,6
119,heter_206,6,0,16,100,uniform,"NA",1,6
120,heter_545,16,0,1,100,uniform,"NA",1,6
121,poly_159,16,"NA","NA",300,uniform,1,4,6
122,poly_290,11,"NA","NA",300,uniform,2,2,6
123,poly_387,6,"NA","NA",100,uniform,2,0.5,6
1,poly_29,3,"NA","NA",50,uniform,3,4,6
2,poly_141,8,"NA","NA",300,uniform,3,2,6
3,poly_253,4,"NA","NA",50,uniform,2,4,6
4,poly_537,19,"NA","NA",300,uniform,4,0.5,6
5,poly_15,15,"NA","NA",300,uniform,2,2,6
6,poly_29,20,"NA","NA",50,uniform,3,4,6
7,poly_247,11,"NA","NA",50,uniform,1,4,6
8,poly_544,4,"NA","NA",100,uniform,2,0.5,6
9,poly_495,8,"NA","NA",50,uniform,2,2,6
10,poly_544,15,"NA","NA",100,uniform,2,0.5,6
11,poly_295,8,"NA","NA",50,uniform,1,4,6
12,heter_540,16,1,64,100,uniform,"NA",1,6
13,heter_48,19,-1,0.25,100,uniform,"NA",1,6
14,poly_506,3,"NA","NA",100,uniform,3,0.5,6
15,poly_537,4,"NA","NA",300,uniform,4,0.5,6
16,poly_3,3,"NA","NA",300,uniform,1,4,6
17,poly_361,12,"NA","NA",100,uniform,2,4,6
18,poly_196,5,"NA","NA",300,uniform,4,0.5,6
19,poly_236,9,"NA","NA",100,uniform,2,2,6
20,poly_131,17,"NA","NA",300,uniform,3,2,6
21,poly_86,20,"NA","NA",50,uniform,3,0.5,6
22,poly_84,18,"NA","NA",50,uniform,2,0.5,6
23,poly_518,5,"NA","NA",50,uniform,3,4,6
24,poly_330,6,"NA","NA",100,uniform,1,0.5,6
25,poly_166,4,"NA","NA",50,uniform,2,2,6
26,poly_392,19,"NA","NA",300,uniform,4,2,6
27,poly_98,12,"NA","NA",50,uniform,4,4,6
28,poly_52,7,"NA","NA",100,uniform,4,0.5,6
29,poly_518,5,"NA","NA",50,uniform,3,4,6
30,poly_132,2,"NA","NA",100,uniform,4,4,6
31,poly_339,18,"NA","NA",300,uniform,3,0.5,6
32,poly_120,5,"NA","NA",300,uniform,1,0.5,6
33,poly_270,7,"NA","NA",50,uniform,3,0.5,6
34,poly_84,7,"NA","NA",50,uniform,2,0.5,6
35,poly_361,16,"NA","NA",100,uniform,2,4,6
36,poly_283,18,"NA","NA",50,uniform,4,2,6
37,heter_287,18,1,64,100,uniform,"NA",1,6
38,poly_4,16,"NA","NA",100,uniform,4,0.5,6
39,poly_195,9,"NA","NA",300,uniform,3,2,6
40,poly_108,20,"NA","NA",50,uniform,2,4,6
41,poly_159,19,"NA","NA",300,uniform,1,4,6
42,poly_387,15,"NA","NA",100,uniform,2,0.5,6
43,poly_230,19,"NA","NA",100,uniform,1,4,6
44,poly_183,17,"NA","NA",50,uniform,1,2,6
45,poly_120,15,"NA","NA",300,uniform,1,0.5,6
46,poly_106,6,"NA","NA",50,uniform,1,2,6
47,poly_98,13,"NA","NA",50,uniform,4,4,6
48,poly_428,18,"NA","NA",50,uniform,4,4,6
49,poly_39,4,"NA","NA",100,uniform,3,2,6
50,poly_321,3,"NA","NA",100,uniform,1,2,6
51,poly_88,3,"NA","NA",100,uniform,3,2,6
52,poly_83,14,"NA","NA",100,uniform,3,0.5,6
53,poly_505,1,"NA","NA",300,uniform,2,0.5,6
54,poly_200,5,"NA","NA",50,uniform,1,0.5,6
55,poly_276,5,"NA","NA",300,uniform,1,2,6
56,poly_251,7,"NA","NA",50,uniform,4,0.5,6
57,poly_421,10,"NA","NA",50,uniform,2,0.5,6
58,poly_290,3,"NA","NA",300,uniform,2,2,6
59,poly_379,5,"NA","NA",300,uniform,1,0.5,6
60,poly_185,12,"NA","NA",100,uniform,1,4,6
61,poly_453,5,"NA","NA",300,uniform,4,2,6
62,poly_51,13,"NA","NA",300,uniform,3,0.5,6
63,poly_528,9,"NA","NA",300,uniform,4,4,6
64,poly_88,12,"NA","NA",100,uniform,3,2,6
65,poly_465,5,"NA","NA",100,uniform,2,4,6
66,poly_502,1,"NA","NA",100,uniform,3,4,6
67,poly_245,3,"NA","NA",100,uniform,1,2,6
68,heter_397,19,1,64,50,uniform,"NA",1,6
69,poly_441,7,"NA","NA",50,uniform,3,2,6
70,poly_73,15,"NA","NA",50,uniform,4,2,6
71,poly_73,7,"NA","NA",50,uniform,4,2,6
72,poly_309,16,"NA","NA",300,uniform,3,4,6
73,heter_270,9,0,0.25,50,uniform,"NA",1,6
74,poly_270,13,"NA","NA",50,uniform,3,0.5,6
75,poly_3,19,"NA","NA",300,uniform,1,4,6
76,poly_210,20,"NA","NA",100,uniform,1,2,6
77,poly_525,17,"NA","NA",100,uniform,2,4,6
78,poly_499,18,"NA","NA",300,uniform,2,4,6
79,poly_5,20,"NA","NA",100,uniform,1,0.5,6
80,poly_263,1,"NA","NA",300,uniform,4,2,6
81,poly_295,9,"NA","NA",50,uniform,1,4,6
82,poly_285,17,"NA","NA",300,uniform,2,0.5,6
83,poly_119,5,"NA","NA",50,uniform,1,4,6
84,poly_495,15,"NA","NA",50,uniform,2,2,6
85,poly_290,16,"NA","NA",300,uniform,2,2,6
86,poly_483,5,"NA","NA",50,uniform,1,2,6
87,poly_268,20,"NA","NA",100,uniform,1,4,6
88,poly_158,9,"NA","NA",100,uniform,4,4,6
89,poly_509,2,"NA","NA",300,uniform,2,4,6
90,poly_432,8,"NA","NA",300,uniform,2,4,6
91,poly_321,20,"NA","NA",100,uniform,1,2,6
92,poly_113,4,"NA","NA",50,uniform,3,2,6
93,poly_268,18,"NA","NA",100,uniform,1,4,6
94,poly_39,8,"NA","NA",100,uniform,3,2,6
95,poly_453,4,"NA","NA",300,uniform,4,2,6
96,heter_37,10,0,0.25,100,uniform,"NA",1,6
97,poly_15,6,"NA","NA",300,uniform,2,2,6
98,poly_513,9,"NA","NA",300,uniform,3,4,6
99,poly_41,6,"NA","NA",100,uniform,4,0.5,6
100,poly_119,1,"NA","NA",50,uniform,1,4,6
101,poly_230,4,"NA","NA",100,uniform,1,4,6
102,heter_61,17,0,1,300,uniform,"NA",1,6
103,poly_321,10,"NA","NA",100,uniform,1,2,6
104,poly_412,4,"NA","NA",50,uniform,3,2,6
105,poly_518,15,"NA","NA",50,uniform,3,4,6
106,poly_198,9,"NA","NA",50,uniform,4,4,6
107,poly_98,4,"NA","NA",50,uniform,4,4,6
108,poly_322,2,"NA","NA",50,uniform,3,0.5,6
109,poly_39,16,"NA","NA",100,uniform,3,2,6
110,poly_119,14,"NA","NA",50,uniform,1,4,6
111,heter_576,12,0,4,300,uniform,"NA",1,6
112,poly_119,4,"NA","NA",50,uniform,1,4,6
113,poly_106,15,"NA","NA",50,uniform,1,2,6
114,poly_263,10,"NA","NA",300,uniform,4,2,6
115,poly_14,2,"NA","NA",300,uniform,2,2,6
116,poly_251,2,"NA","NA",50,uniform,4,0.5,6
117,heter_251,7,1,0.25,50,uniform,"NA",1,6
118,poly_41,4,"NA","NA",100,uniform,4,0.5,6
119,poly_350,18,"NA","NA",300,uniform,1,0.5,6
120,poly_110,2,"NA","NA",300,uniform,2,0.5,6
121,poly_41,14,"NA","NA",100,uniform,4,0.5,6
122,poly_518,9,"NA","NA",50,uniform,3,4,6
123,poly_131,2,"NA","NA",300,uniform,3,2,6
1,poly_141,20,"NA","NA",300,uniform,3,2,6
2,poly_428,15,"NA","NA",50,uniform,4,4,6
3,poly_163,5,"NA","NA",100,uniform,2,2,6
4,poly_432,10,"NA","NA",300,uniform,2,4,6
5,poly_202,10,"NA","NA",300,uniform,4,4,6
6,poly_5,2,"NA","NA",100,uniform,1,0.5,6
7,poly_251,4,"NA","NA",50,uniform,4,0.5,6
8,poly_450,17,"NA","NA",50,uniform,3,4,6
9,poly_196,4,"NA","NA",300,uniform,4,0.5,6
10,poly_28,19,"NA","NA",100,uniform,4,2,6
11,poly_447,20,"NA","NA",100,uniform,1,0.5,6
12,poly_159,11,"NA","NA",300,uniform,1,4,6
13,poly_141,11,"NA","NA",300,uniform,3,2,6
14,poly_85,15,"NA","NA",300,uniform,1,2,6
15,poly_132,15,"NA","NA",100,uniform,4,4,6
16,poly_211,10,"NA","NA",50,uniform,1,0.5,6
17,poly_263,6,"NA","NA",300,uniform,4,2,6
18,poly_3,18,"NA","NA",300,uniform,1,4,6
19,poly_330,1,"NA","NA",100,uniform,1,0.5,6
20,poly_230,16,"NA","NA",100,uniform,1,4,6
21,poly_158,14,"NA","NA",100,uniform,4,4,6
22,poly_392,12,"NA","NA",300,uniform,4,2,6
23,poly_365,18,"NA","NA",300,uniform,4,0.5,6
24,poly_39,7,"NA","NA",100,uniform,3,2,6
25,poly_247,12,"NA","NA",50,uniform,1,4,6
26,poly_573,1,"NA","NA",100,uniform,2,0.5,6
27,poly_131,15,"NA","NA",300,uniform,3,2,6
28,poly_183,10,"NA","NA",50,uniform,1,2,6
29,poly_343,17,"NA","NA",300,uniform,3,0.5,6
30,poly_341,3,"NA","NA",300,uniform,1,2,6
31,poly_483,6,"NA","NA",50,uniform,1,2,6
32,poly_154,7,"NA","NA",300,uniform,4,4,6
33,poly_290,5,"NA","NA",300,uniform,2,2,6
34,poly_245,19,"NA","NA",100,uniform,1,2,6
35,poly_245,12,"NA","NA",100,uniform,1,2,6
36,poly_505,20,"NA","NA",300,uniform,2,0.5,6
37,poly_365,8,"NA","NA",300,uniform,4,0.5,6
38,poly_518,20,"NA","NA",50,uniform,3,4,6
39,poly_421,5,"NA","NA",50,uniform,2,0.5,6
40,poly_251,19,"NA","NA",50,uniform,4,0.5,6
41,heter_489,5,0,4,300,uniform,"NA",1,6
42,poly_183,4,"NA","NA",50,uniform,1,2,6
43,poly_110,12,"NA","NA",300,uniform,2,0.5,6
44,poly_428,18,"NA","NA",50,uniform,4,4,6
45,poly_465,6,"NA","NA",100,uniform,2,4,6
46,poly_361,11,"NA","NA",100,uniform,2,4,6
47,poly_290,10,"NA","NA",300,uniform,2,2,6
48,poly_330,6,"NA","NA",100,uniform,1,0.5,6
49,poly_465,19,"NA","NA",100,uniform,2,4,6
50,poly_502,11,"NA","NA",100,uniform,3,4,6
51,poly_41,14,"NA","NA",100,uniform,4,0.5,6
52,poly_202,3,"NA","NA",300,uniform,4,4,6
53,poly_230,13,"NA","NA",100,uniform,1,4,6
54,poly_163,19,"NA","NA",100,uniform,2,2,6
55,poly_537,12,"NA","NA",300,uniform,4,0.5,6
56,poly_154,12,"NA","NA",300,uniform,4,4,6
57,poly_98,2,"NA","NA",50,uniform,4,4,6
58,poly_330,15,"NA","NA",100,uniform,1,0.5,6
59,poly_268,16,"NA","NA",100,uniform,1,4,6
60,poly_14,11,"NA","NA",300,uniform,2,2,6
61,poly_428,1,"NA","NA",50,uniform,4,4,6
62,poly_428,19,"NA","NA",50,uniform,4,4,6
63,poly_236,14,"NA","NA",100,uniform,2,2,6
64,poly_29,8,"NA","NA",50,uniform,3,4,6
65,heter_196,10,0,16,50,uniform,"NA",1,6
66,poly_236,17,"NA","NA",100,uniform,2,2,6
67,poly_513,20,"NA","NA",300,uniform,3,4,6
68,poly_41,17,"NA","NA",100,uniform,4,0.5,6
69,poly_537,2,"NA","NA",300,uniform,4,0.5,6
70,poly_253,8,"NA","NA",50,uniform,2,4,6
71,poly_270,5,"NA","NA",50,uniform,3,0.5,6
72,poly_39,9,"NA","NA",100,uniform,3,2,6
73,poly_141,11,"NA","NA",300,uniform,3,2,6
74,poly_73,5,"NA","NA",50,uniform,4,2,6
75,poly_86,11,"NA","NA",50,uniform,3,0.5,6
76,poly_200,5,"NA","NA",50,uniform,1,0.5,6
77,poly_84,5,"NA","NA",50,uniform,2,0.5,6
78,poly_495,20,"NA","NA",50,uniform,2,2,6
79,poly_141,12,"NA","NA",300,uniform,3,2,6
80,poly_502,9,"NA","NA",100,uniform,3,4,6
81,poly_290,18,"NA","NA",300,uniform,2,2,6
82,poly_495,9,"NA","NA",50,uniform,2,2,6
83,poly_270,8,"NA","NA",50,uniform,3,0.5,6
84,poly_3,1,"NA","NA",300,uniform,1,4,6
85,poly_379,11,"NA","NA",300,uniform,1,0.5,6
86,poly_499,17,"NA","NA",300,uniform,2,4,6
87,poly_263,19,"NA","NA",300,uniform,4,2,6
88,poly_5,17,"NA","NA",100,uniform,1,0.5,6
89,poly_196,19,"NA","NA",300,uniform,4,0.5,6
90,poly_5,17,"NA","NA",100,uniform,1,0.5,6
91,poly_432,10,"NA","NA",300,uniform,2,4,6
92,poly_525,16,"NA","NA",100,uniform,2,4,6
93,poly_183,2,"NA","NA",50,uniform,1,2,6
94,poly_4,7,"NA","NA",100,uniform,4,0.5,6
95,poly_268,5,"NA","NA",100,uniform,1,4,6
96,poly_472,14,"NA","NA",50,uniform,2,2,6
97,poly_350,7,"NA","NA",300,uniform,1,0.5,6
98,poly_245,14,"NA","NA",100,uniform,1,2,6
99,poly_357,16,"NA","NA",100,uniform,3,4,6
100,poly_573,9,"NA","NA",100,uniform,2,0.5,6
101,poly_505,19,"NA","NA",300,uniform,2,0.5,6
102,poly_268,16,"NA","NA",100,uniform,1,4,6
103,poly_198,15,"NA","NA",50,uniform,4,4,6
104,poly_528,2,"NA","NA",300,uniform,4,4,6
105,poly_195,20,"NA","NA",300,uniform,3,2,6
106,poly_339,6,"NA","NA",300,uniform,3,0.5,6
107,poly_453,13,"NA","NA",300,uniform,4,2,6
108,poly_186,13,"NA","NA",50,uniform,2,4,6
109,poly_120,14,"NA","NA",300,uniform,1,0.5,6
110,poly_365,12,"NA","NA",300,uniform,4,0.5,6
111,poly_183,2,"NA","NA",50,uniform,1,2,6
112,poly_506,18,"NA","NA",100,uniform,3,0.5,6
113,poly_51,2,"NA","NA",300,uniform,3,0.5,6
114,poly_357,14,"NA","NA",100,uniform,3,4,6
115,poly_450,12,"NA","NA",50,uniform,3,4,6
116,poly_361,9,"NA","NA",100,uniform,2,4,6
117,poly_371,15,"NA","NA",100,uniform,2,2,6
118,poly_15,18,"NA","NA",300,uniform,2,2,6
