page,response_time,set,num,selection,num_selection,reason,confidence,prolific_id,age_group,education,pronoun,previous_experience,lineup_id,type,formula,a,b,x_dist,e_dist,e_sigma,name,k,n,effect_size,answer,detect,conventional_p_value,p_value,weigthed_detect,prop_detect
12,43834.39999997616,2,8,17_19_20,3,Cluster(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,427,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,1,lognormal,normal,1,heter_427,20,300,3.3774274951898917,4,FALSE,0.1688691237482897,1,0,0
13,24157.90000000596,2,9,16_1,2,Cluster(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,338,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,64,lognormal,normal,1,heter_338,20,300,425.8719407029612,16,TRUE,4.057373209482772e-7,0.006800000000000028,0.5,0.75
14,44886.90000000596,2,10,5_3,2,Shape,Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,483,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0,lognormal,normal,1,heter_483,20,50,0,8,FALSE,0.08853984836699934,1,0,0
15,25013.19999998808,2,11,2_10,2,Cluster(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,351,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,16,even_discrete,normal,1,heter_351,20,100,87.1677381406631,10,TRUE,4.356343582381495e-4,0.006359999999999921,0.5,0.38095238095238093
16,23535.40000000596,2,12,3_4_5_19,4,Shape,Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,501,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,16,normal,normal,1,heter_501,20,50,45.71136967670645,2,FALSE,0.03426544387039559,1,0,0
17,16481.600000023842,2,13,1,1,Shape,Moderately,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,581,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,128,uniform,normal,1,heter_581,20,300,415.23401690678276,1,TRUE,1.6322489776530908e-14,0,1,0.9027777777777778
18,33929.40000000596,2,14,1_10,2,Shape,Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,566,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,0,0.25,lognormal,normal,1,heter_566,20,100,0.9190208736572814,5,FALSE,0.46745336765803475,1,0,0
19,18732.5,2,15,14_17,2,Cluster(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,122,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,64,even_discrete,normal,1,heter_122,20,50,72.05541362697143,14,TRUE,0.023873223141679965,0.03322000000000003,0.5,0.2777777777777778
20,18542.100000023842,2,16,5_18_9,3,Cluster(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,23,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,1,uniform,normal,1,heter_23,20,100,13.533225411819355,18,TRUE,0.016439423368855594,0.23160000000000003,0.3333333333333333,0.16666666666666666
21,35330.09999999404,2,17,1,1,Shape,Moderately,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,219,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,1,0.25,normal,normal,1,heter_219,20,300,1.9473918176741734,14,FALSE,0.5818377243088219,0.009780000000000011,0,0.6666666666666666
22,26289.70000001788,2,18,7_6_11_17,4,Cluster(s),Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,84,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,0.25,uniform,normal,1,heter_84,20,50,1.4096035001211646,20,FALSE,0.743203787547965,1,0,0
23,29047,2,19,5_17_2,3,Shape,Slightly,6137d45d71fa7f89d4194272                            ,18-24,Diploma and Bachelor Degree,She,No,437,heteroskedasticity,y ~ 1 + x + sqrt(1 + (2 - abs(a)) * (x - a)^2 * b) * e,-1,64,normal,normal,1,heter_437,20,100,144.64371781849454,16,FALSE,0.01609799300348233,1,0,0
