subject,lineup_id,order,shape,n,x_dist,e_sigma,rep
139,476,12,3,50,even_discrete,2,3
140,268,15,1,100,uniform,4,2
141,9,9,1,50,even_discrete,1,1
142,102,15,2,100,even_discrete,1,3
143,127,3,2,300,lognormal,0.5,2
144,282,6,2,50,even_discrete,1,1
145,35,16,4,300,lognormal,1,3
146,403,15,3,100,lognormal,1,3
147,41,4,4,100,uniform,0.5,2
148,330,6,1,100,uniform,0.5,3
149,206,5,4,50,lognormal,0.5,2
150,115,10,3,300,lognormal,1,1
151,493,12,3,300,normal,2,2
152,213,17,2,300,normal,2,2
153,352,16,4,300,even_discrete,4,1
154,190,6,4,300,lognormal,2,1
155,343,8,3,300,uniform,0.5,2
156,287,10,4,100,lognormal,0.5,3
157,371,3,2,100,uniform,2,1
158,86,4,3,50,uniform,0.5,2
159,399,7,4,100,lognormal,0.5,1
160,310,6,3,100,even_discrete,4,3
1,290,10,2,300,uniform,2,3
2,194,20,3,300,lognormal,0.5,2
3,559,11,4,100,even_discrete,1,1
4,320,4,2,100,normal,2,3
5,156,8,4,100,even_discrete,2,2
6,35,15,4,300,lognormal,1,3
7,202,8,4,300,uniform,4,3
8,552,16,4,100,normal,0.5,1
9,350,19,1,300,uniform,0.5,3
10,227,3,2,300,normal,2,3
11,423,4,3,300,even_discrete,2,2
12,489,3,1,100,even_discrete,0.5,3
13,361,12,2,100,uniform,4,2
14,75,5,2,300,even_discrete,4,1
15,8,9,2,50,lognormal,4,2
16,266,17,4,300,even_discrete,4,3
17,515,20,4,50,normal,1,1
18,208,18,4,100,even_discrete,2,3
19,361,5,2,100,uniform,4,2
20,282,6,2,50,even_discrete,1,1
21,381,4,4,300,normal,0.5,1
22,540,19,4,100,lognormal,0.5,2
23,287,12,4,100,lognormal,0.5,3
24,212,7,2,300,even_discrete,2,3
25,107,5,1,300,lognormal,1,3
26,453,2,4,300,uniform,2,1
27,433,18,1,300,even_discrete,0.5,3
28,63,5,4,300,even_discrete,0.5,1
29,254,7,1,300,normal,2,1
30,523,7,2,300,even_discrete,0.5,1
31,31,16,3,100,even_discrete,2,2
32,430,18,3,100,lognormal,0.5,2
33,181,18,4,50,lognormal,1,1
34,419,16,4,100,normal,1,1
35,240,9,3,50,normal,0.5,2
36,320,20,2,100,normal,2,3
37,22,19,4,100,even_discrete,4,2
38,536,15,1,50,normal,2,3
39,75,19,2,300,even_discrete,4,1
40,22,17,4,100,even_discrete,4,2
41,292,15,2,300,normal,4,2
42,464,6,2,100,lognormal,1,1
43,412,13,3,50,uniform,2,1
44,550,18,3,50,normal,4,2
45,59,4,2,50,even_discrete,4,1
46,463,3,4,100,uniform,1,1
47,383,3,2,300,normal,1,2
48,295,14,1,50,uniform,4,2
49,122,1,4,50,normal,4,1
50,37,5,3,100,normal,0.5,1
51,473,5,4,300,normal,4,3
52,357,7,3,100,uniform,4,3
53,550,10,3,50,normal,4,2
54,52,3,4,100,uniform,0.5,1
55,85,5,1,300,uniform,2,1
56,433,12,1,300,even_discrete,0.5,3
57,266,5,4,300,even_discrete,4,3
58,19,13,3,300,lognormal,4,3
59,412,9,3,50,uniform,2,1
60,65,12,3,100,lognormal,1,2
61,3,5,1,300,uniform,4,3
62,126,1,3,100,normal,0.5,3
63,198,3,4,50,uniform,4,1
64,310,19,3,100,even_discrete,4,3
65,413,7,4,100,uniform,1,2
66,359,15,1,300,lognormal,4,1
67,4,7,4,100,uniform,0.5,3
68,314,16,1,300,normal,4,1
69,292,9,2,300,normal,4,2
70,47,13,4,100,lognormal,2,1
71,424,19,3,300,even_discrete,4,1
72,8,20,2,50,lognormal,4,2
73,487,17,2,100,lognormal,4,2
74,485,18,2,100,even_discrete,0.5,3
75,274,20,2,100,lognormal,4,3
76,311,1,4,50,lognormal,0.5,3
77,56,9,1,50,lognormal,4,2
78,481,17,1,50,normal,4,1
