page,response_time,set,num,selection,num_selection,reason,confidence,prolific_id,age_group,education,pronoun,previous_experience,lineup_id,type,formula,a,b,c,x_dist,z_discrete,e_dist,e_sigma,x_mu,x_n,x_sigma,z_discrete_dist,z_n,e_df,name,k,n,effect_size,answer,detect,conventional_p_value,ori_difficulty,exp,exp_lineup_id
6,17837.300000000745,2,2,15_3_5_12,4,Outlier(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,572,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,1.1269151493906975,NA,uniform,FALSE,NA,NA,0,12,0.6,NA,NA,NA,heter_hard_190,20,100,11.269151493906975,17,FALSE,0.00182636230595119,hard,1,1_572
7,7742.300000000745,2,3,19,1,Cluster(s),Very,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,583,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,30.460985079407692,NA,uniform,FALSE,NA,NA,0,11,0.6,NA,NA,NA,heter_extremely_easy_2,20,300,527.5997380613162,19,TRUE,3.279076487828318e-16,extremely_easy,1,1_583
8,18190,2,4,13_2_6,3,Outlier(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,490,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,1.8562916070222855,NA,uniform,FALSE,NA,NA,0,11,0.6,NA,NA,NA,heter_hard_108,20,50,13.125963831851319,1,FALSE,0.46012384920401084,hard,1,1_490
9,31774.199999999255,2,5,3_12_14,3,Outlier(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,86,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-0.7741739843040705,1.8359015760943294,1.1339362976141274,uniform,FALSE,normal,2,0,NA,0.6,discrete_uniform,5,NA,high_medium_52,20,300,0.34089887868139,12,TRUE,8.365885182505065e-10,medium,1,1_86
10,16697.900000000373,2,6,10_14_5,3,Outlier(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,544,heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",1,1.0773730352520943,NA,lognormal,FALSE,NA,NA,0,15,0.6,NA,NA,NA,heter_hard_162,20,50,7.618177790942892,6,FALSE,0.43510882376060883,hard,1,1_544
11,13217.900000000373,2,7,13_2_6,3,Outlier(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,286,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.5633881478570402,0.359244117513299,1.4901609355583787,uniform,FALSE,normal,2,0,NA,0.6,discrete_uniform,7,NA,high_hard_192,20,300,0.143943038013309,8,FALSE,1.3596834424245492e-4,hard,1,1_286
12,16090.5,2,8,5_10_19_16_17_7_2,7,Outlier(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,224,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.9461411302909255,-0.9179190387949347,1.8376448922790587,neglognormal,TRUE,normal,0.5,0,NA,0.6,discrete_uniform,3,NA,high_hard_130,20,50,0.07202265508396641,20,FALSE,0.45493000126448846,hard,1,1_224
13,23774.400000000373,2,9,9_1_13,3,Outlier(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,215,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-0.3546553454361856,0.781250695232302,0.39946644054725766,uniform,TRUE,normal,1,0,NA,0.6,discrete_uniform,7,NA,high_hard_121,20,100,1.4880727302522345,3,FALSE,5.555471117723641e-4,hard,1,1_215
14,17409.5,2,10,3_5_15_19,4,Outlier(s),Slightly,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,161,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.3037543063983321,-0.20272905891761184,0.5045938449911773,neglognormal,TRUE,normal,1,0,NA,0.6,discrete_uniform,6,NA,high_hard_67,20,100,0.014186177284682933,16,FALSE,0.5801739746974468,hard,1,1_161
15,7998.200000001118,2,11,19,1,Shape,Extremely,61212378214e27fc425213d3,25-39,Masters Degree,He,Yes,31,cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",-1.69904300943017,-0.02647660207003355,0.574939789250493,uniform,TRUE,normal,0.5,0,NA,0.6,discrete_uniform,7,NA,high_easy_31,20,300,13.842012261425143,19,TRUE,2.162539079633753e-124,easy,1,1_31
