type,formula,a,b,c,x_dist,z_discrete,e_dist,e_sigma,x_mu,x_n,x_sigma,z_discrete_dist,z_n,e_df,name,k,n,effect_size,answer,conventional_p_value,ori_difficulty,exp,exp_lineup_id,log_effect_size
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",2.3803098569624126,-2.0503187673166394,1.2658613962121308,uniform,TRUE,normal,0.5,0,NA,0.6,discrete_uniform,7,NA,high_easy_2,20,300,3.5657907356677296,7,1.7427913756514383e-40,easy,1,1_2,1.2713858345075044
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.17368108173832297,-1.7064914186485112,1.2670628819614649,uniform,FALSE,normal,1,0,NA,0.6,discrete_uniform,6,NA,high_medium_7,20,300,1.7722321837118113,11,5.677299399381379e-18,medium,1,1_41,0.5722398727820535
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",1.2035853127017617,1.1781318504363298,0.27692704647779465,normal,TRUE,normal,2,0,NA,0.3,discrete_uniform,7,NA,high_hard_62,20,50,1.3558948196334129,19,0.0013033028046439735,hard,1,1_156,0.30446161986773035
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,0.6533035933971405,NA,normal,FALSE,NA,NA,0,15,0.3,NA,NA,NA,heter_hard_111,20,50,4.619554010646571,18,0.6679840050122597,hard,1,1_493,1.5302981659418093
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,8.35027339309454,NA,lognormal,FALSE,NA,NA,0,15,0.6,NA,NA,NA,heter_medium_6,20,100,83.5027339309454,14,3.122022588306922e-5,medium,1,1_328,4.424879373008781
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,0.5889832749962807,NA,neglognormal,FALSE,NA,NA,0,12,0.6,NA,NA,NA,heter_hard_142,20,100,5.889832749962807,2,0.9091195789196405,hard,1,1_524,1.7732276016682798
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",0,0.824115701019764,NA,lognormal,FALSE,NA,NA,0,16,0.6,NA,NA,NA,heter_hard_32,20,300,14.274102654814737,13,0.00418149982538357,hard,1,1_414,2.658446892257269
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,24.528954289853573,NA,uniform,FALSE,NA,NA,0,15,0.6,NA,NA,NA,heter_easy_26,20,300,424.85395086560965,15,3.550779237579785e-16,easy,1,1_314,6.05174546484284
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",0.5997929298318923,1.5625540637411177,1.2371053365059197,uniform,FALSE,normal,1,0,NA,0.6,discrete_uniform,5,NA,high_medium_36,20,50,1.4531149521443956,20,0.14543227508375672,medium,1,1_70,0.3737094951163586
heteroskedasticity,"y ~ 1 + x + e, e ~ N(0, 1 + (2-|a|) * (x_i - a)^2 * b)",-1,0.0704151839017868,NA,lognormal,FALSE,NA,NA,0,18,0.6,NA,NA,NA,heter_hard_5,20,50,0.49791054035451265,16,0.8692252492020226,hard,1,1_387,-0.6973348559366379
cubic,"y ~ 1 + (2-c) * x + c * z + a * [(2-c) * x]^2 + a * (c * z)^2 + b * [(2-c) * x]^3 + b * (c * z)^3 + e, e ~ N(0, sigma^2)",2.3171751648187637,-1.6152820293791592,1.2656402811408043,neglognormal,FALSE,normal,2,0,NA,0.6,discrete_uniform,6,NA,high_medium_1,20,50,1.6306080837500045,10,2.3730912945662308e-4,medium,1,1_35,0.48895300276535786
