shape,n,x_dist,e_sigma,rep,lineup_id
2,50,even_discrete,2,3,182
3,50,even_discrete,2,3,476
4,50,even_discrete,2,3,542
1,100,even_discrete,2,3,188
2,100,even_discrete,2,3,12
3,100,even_discrete,2,3,149
4,100,even_discrete,2,3,208
1,300,even_discrete,2,3,410
2,300,even_discrete,2,3,212
3,300,even_discrete,2,3,338
4,300,even_discrete,2,3,80
1,50,uniform,4,3,119
2,50,uniform,4,3,108
3,50,uniform,4,3,29
4,50,uniform,4,3,428
1,100,uniform,4,3,185
2,100,uniform,4,3,465
3,100,uniform,4,3,357
4,100,uniform,4,3,161
1,300,uniform,4,3,3
2,300,uniform,4,3,432
3,300,uniform,4,3,354
4,300,uniform,4,3,202
1,50,normal,4,3,40
2,50,normal,4,3,547
3,50,normal,4,3,43
4,50,normal,4,3,97
1,100,normal,4,3,114
2,100,normal,4,3,316
3,100,normal,4,3,385
4,100,normal,4,3,261
1,300,normal,4,3,49
2,300,normal,4,3,406
3,300,normal,4,3,507
4,300,normal,4,3,473
1,50,lognormal,4,3,133
2,50,lognormal,4,3,280
3,50,lognormal,4,3,459
4,50,lognormal,4,3,277
1,100,lognormal,4,3,353
2,100,lognormal,4,3,274
3,100,lognormal,4,3,184
4,100,lognormal,4,3,516
1,300,lognormal,4,3,571
2,300,lognormal,4,3,1
3,300,lognormal,4,3,19
4,300,lognormal,4,3,304
1,50,even_discrete,4,3,497
2,50,even_discrete,4,3,244
3,50,even_discrete,4,3,271
4,50,even_discrete,4,3,446
1,100,even_discrete,4,3,205
2,100,even_discrete,4,3,46
3,100,even_discrete,4,3,310
4,100,even_discrete,4,3,71
1,300,even_discrete,4,3,70
2,300,even_discrete,4,3,492
3,300,even_discrete,4,3,460
4,300,even_discrete,4,3,266
