subject,lineup_id,shape,n,x_dist,e_sigma,rep
43,412,3,50,uniform,2,1
44,550,3,50,normal,4,2
45,59,2,50,even_discrete,4,1
46,463,4,100,uniform,1,1
47,383,2,300,normal,1,2
48,295,1,50,uniform,4,2
49,122,4,50,normal,4,1
50,37,3,100,normal,0.5,1
51,473,4,300,normal,4,3
52,357,3,100,uniform,4,3
53,550,3,50,normal,4,2
54,52,4,100,uniform,0.5,1
55,85,1,300,uniform,2,1
56,433,1,300,even_discrete,0.5,3
57,266,4,300,even_discrete,4,3
58,19,3,300,lognormal,4,3
59,412,3,50,uniform,2,1
60,65,3,100,lognormal,1,2
61,3,1,300,uniform,4,3
62,126,3,100,normal,0.5,3
63,198,4,50,uniform,4,1
64,310,3,100,even_discrete,4,3
65,413,4,100,uniform,1,2
66,359,1,300,lognormal,4,1
67,4,4,100,uniform,0.5,3
68,314,1,300,normal,4,1
69,292,2,300,normal,4,2
70,47,4,100,lognormal,2,1
71,424,3,300,even_discrete,4,1
72,8,2,50,lognormal,4,2
73,487,2,100,lognormal,4,2
74,485,2,100,even_discrete,0.5,3
75,274,2,100,lognormal,4,3
76,311,4,50,lognormal,0.5,3
77,56,1,50,lognormal,4,2
78,481,1,50,normal,4,1
79,285,2,300,uniform,0.5,3
80,324,3,50,normal,1,3
81,545,2,300,normal,0.5,3
82,575,4,100,even_discrete,0.5,1
83,204,3,100,normal,4,1
84,271,3,50,even_discrete,4,3
85,533,1,300,normal,1,3
86,564,4,50,normal,0.5,1
87,180,1,300,normal,0.5,3
88,78,3,100,uniform,2,1
89,137,2,50,lognormal,0.5,1
90,418,1,300,normal,0.5,1
91,428,4,50,uniform,4,3
92,162,4,300,lognormal,2,3
93,13,1,300,even_discrete,1,3
94,317,2,50,even_discrete,0.5,2
95,108,2,50,uniform,4,3
96,203,2,50,lognormal,1,2
97,6,1,100,uniform,1,1
98,56,1,50,lognormal,4,2
99,103,1,50,even_discrete,1,2
100,292,2,300,normal,4,2
101,299,2,100,lognormal,0.5,3
102,212,2,300,even_discrete,2,3
103,219,4,300,lognormal,1,2
104,379,1,300,uniform,0.5,2
105,336,1,50,lognormal,0.5,2
106,456,1,100,even_discrete,1,1
107,77,3,100,even_discrete,1,3
108,484,1,50,normal,0.5,1
109,275,4,100,normal,0.5,2
110,458,1,300,normal,4,2
111,464,2,100,lognormal,1,1
112,454,2,100,normal,0.5,3
113,418,1,300,normal,0.5,1
114,103,1,50,even_discrete,1,2
115,481,1,50,normal,4,1
116,337,2,50,normal,2,2
117,100,1,100,even_discrete,1,3
118,567,4,50,uniform,1,3
119,54,3,50,even_discrete,0.5,3
120,387,2,100,uniform,0.5,3
121,548,1,50,normal,4,2
122,35,4,300,lognormal,1,3
123,272,4,100,normal,2,1
124,357,3,100,uniform,4,3
125,122,4,50,normal,4,1
126,153,4,100,lognormal,1,1
127,426,3,50,lognormal,2,3
128,527,1,50,lognormal,0.5,3
129,536,1,50,normal,2,3
130,184,3,100,lognormal,4,3
131,551,3,100,lognormal,2,3
132,309,3,300,uniform,4,1
133,92,2,100,even_discrete,1,2
134,543,4,300,normal,0.5,2
135,429,3,300,normal,4,1
136,242,4,100,uniform,2,1
137,86,3,50,uniform,0.5,2
138,187,2,50,lognormal,2,2
139,111,1,100,lognormal,1,1
140,223,3,300,even_discrete,1,3
141,429,3,300,normal,4,1
142,29,3,50,uniform,4,3
143,301,3,100,uniform,4,1
144,231,1,300,uniform,4,2
145,5,1,100,uniform,0.5,2
146,545,2,300,normal,0.5,3
147,420,2,50,normal,2,3
148,308,4,300,lognormal,1,1
149,522,2,300,even_discrete,1,2
150,247,1,50,uniform,4,1
151,284,2,100,even_discrete,1,1
152,517,3,100,even_discrete,1,1
153,322,3,50,uniform,0.5,3
154,315,1,50,normal,1,1
155,419,4,100,normal,1,1
156,412,3,50,uniform,2,1
157,304,4,300,lognormal,4,3
158,18,4,300,normal,2,2
159,510,2,50,normal,1,2
160,417,2,50,lognormal,2,1
1,434,3,100,lognormal,0.5,3
2,158,4,100,uniform,4,2
3,225,2,300,lognormal,4,1
4,450,3,50,uniform,4,2
5,364,3,100,normal,1,3
6,402,2,50,even_discrete,0.5,1
7,250,3,100,even_discrete,2,1
8,26,1,50,even_discrete,2,1
9,272,4,100,normal,2,1
10,269,4,50,uniform,1,1
11,363,4,300,lognormal,4,2
12,190,4,300,lognormal,2,1
13,305,3,300,even_discrete,0.5,3
14,466,1,50,normal,2,1
15,208,4,100,even_discrete,2,3
16,470,3,300,normal,0.5,2
17,330,1,100,uniform,0.5,3
18,90,3,100,normal,1,1
19,13,1,300,even_discrete,1,3
20,450,3,50,uniform,4,2
21,241,1,100,lognormal,1,3
22,136,3,100,normal,4,2
23,532,1,300,even_discrete,2,2
24,172,1,100,normal,0.5,3
25,471,4,50,even_discrete,0.5,3
26,492,2,300,even_discrete,4,3
27,439,3,50,normal,1,2
28,139,2,300,normal,1,1
29,218,3,100,lognormal,0.5,1
30,159,1,300,uniform,4,1
31,40,1,50,normal,4,3
32,40,1,50,normal,4,3
33,271,3,50,even_discrete,4,3
34,230,1,100,uniform,4,1
35,244,2,50,even_discrete,4,3
36,447,1,100,uniform,0.5,1
37,455,1,50,uniform,1,1
38,62,4,50,even_discrete,0.5,2
39,390,1,50,uniform,1,2
40,364,3,100,normal,1,3
41,112,4,50,even_discrete,1,2
42,489,1,100,even_discrete,0.5,3
43,178,2,100,even_discrete,0.5,1
44,284,2,100,even_discrete,1,1
45,445,4,50,normal,0.5,3
46,548,1,50,normal,4,2
47,309,3,300,uniform,4,1
48,63,4,300,even_discrete,0.5,1
49,400,3,50,even_discrete,0.5,1
50,210,1,100,uniform,2,2
51,474,1,50,uniform,1,3
52,527,1,50,lognormal,0.5,3
53,444,2,100,lognormal,2,1
54,493,3,300,normal,2,2
55,235,4,100,lognormal,1,2
56,325,2,100,normal,1,3
57,462,3,100,lognormal,2,2
58,380,1,300,normal,1,2
59,222,4,50,even_discrete,1,1
60,243,2,50,normal,4,2
61,475,2,100,even_discrete,2,2
62,416,4,50,lognormal,4,2
63,146,2,100,lognormal,2,2
64,495,2,50,uniform,2,1
65,497,1,50,even_discrete,4,3
66,323,2,50,normal,0.5,1
67,143,3,300,normal,2,3
68,551,3,100,lognormal,2,3
69,283,4,50,uniform,2,1
70,378,3,100,even_discrete,0.5,3
71,294,1,50,normal,2,2
72,427,1,50,even_discrete,2,3
73,529,4,300,uniform,1,1
74,342,4,100,uniform,2,2
75,298,1,300,normal,1,1
76,314,1,300,normal,4,1
77,129,4,50,even_discrete,0.5,1
78,387,2,100,uniform,0.5,3
79,364,3,100,normal,1,3
80,276,1,300,uniform,2,2
81,354,3,300,uniform,4,3
82,415,2,300,lognormal,2,2
83,538,2,300,even_discrete,2,1
84,321,1,100,uniform,2,3
85,52,4,100,uniform,0.5,1
86,134,2,300,even_discrete,2,2
87,253,2,50,uniform,4,2
88,133,1,50,lognormal,4,3
89,550,3,50,normal,4,2
90,65,3,100,lognormal,1,2
91,21,3,50,even_discrete,1,3
92,485,2,100,even_discrete,0.5,3
93,468,4,100,normal,2,3
94,7,4,50,normal,4,2
95,219,4,300,lognormal,1,2
96,174,1,300,even_discrete,2,1
97,8,2,50,lognormal,4,2
98,319,4,300,normal,1,2
99,346,4,50,normal,2,1
100,343,3,300,uniform,0.5,2
101,81,4,50,even_discrete,1,3
102,399,4,100,lognormal,0.5,1
103,375,1,50,even_discrete,0.5,1
104,289,2,300,even_discrete,1,3
105,250,3,100,even_discrete,2,1
106,361,2,100,uniform,4,2
107,481,1,50,normal,4,1
108,301,3,100,uniform,4,1
109,415,2,300,lognormal,2,2
110,212,2,300,even_discrete,2,3
111,483,1,50,uniform,2,3
112,562,1,100,uniform,1,3
113,88,3,100,uniform,2,3
114,504,3,100,lognormal,4,2
115,440,4,300,even_discrete,2,1
116,374,4,300,even_discrete,1,2
117,137,2,50,lognormal,0.5,1
118,252,2,100,lognormal,0.5,1
119,415,2,300,lognormal,2,2
120,160,3,300,even_discrete,1,1
121,421,2,50,uniform,0.5,2
122,421,2,50,uniform,0.5,2
123,6,1,100,uniform,1,1
124,112,4,50,even_discrete,1,2
125,131,3,300,uniform,2,3
126,523,2,300,even_discrete,0.5,1
127,509,2,300,uniform,4,1
128,261,4,100,normal,4,3
129,214,4,50,lognormal,1,3
130,365,4,300,uniform,0.5,2
131,397,4,50,normal,0.5,2
132,531,1,100,lognormal,1,2
133,67,3,300,normal,0.5,3
134,183,1,50,uniform,2,2
135,573,2,100,uniform,0.5,2
136,460,3,300,even_discrete,4,3
137,478,1,100,normal,4,2
138,309,3,300,uniform,4,1
139,564,4,50,normal,0.5,1
140,345,2,300,normal,0.5,2
141,155,2,100,lognormal,0.5,2
142,275,4,100,normal,0.5,2
143,112,4,50,even_discrete,1,2
144,226,4,300,normal,0.5,3
145,134,2,300,even_discrete,2,2
146,26,1,50,even_discrete,2,1
147,409,3,100,lognormal,1,1
148,406,2,300,normal,4,3
149,321,1,100,uniform,2,3
150,420,2,50,normal,2,3
151,277,4,50,lognormal,4,3
