a,b,c,x_dist,x_mu,x_n,x_sigma,z_discrete,z_discrete_dist,z_n,e_dist,e_df,e_sigma,n,model,statistics,pvalue,effect_size,answer
-1,27.383434526622295,NA,discrete_uniform,0,19,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,5.884703671621105,0.05274154331345774,193.6301224595246,TRUE
0,9.507336869835854,NA,discrete_uniform,0,12,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,55.37713362317495,9.440787491002267e-13,164.67190503228554,FALSE
1,19.808663055300713,NA,uniform,0,10,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,81.06120067878747,2.499101668001079e-18,343.09610841793386,TRUE
0,29.749403916299343,NA,discrete_uniform,0,14,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,14.666107078796395,6.53574820558279e-4,297.49403916299343,TRUE
-1,14.444443255662918,NA,neglognormal,0,12,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,3.3398318563919562,0.18826289257444703,144.44443255662918,TRUE
1,31.033201403915882,NA,uniform,0,13,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,21.02982004359023,2.712892593095098e-5,219.4378715463681,TRUE
1,2.8753190115094185,NA,neglognormal,0,18,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,15.33979787407949,4.666649838647021e-4,28.753190115094185,FALSE
0,21.67559290677309,NA,normal,0,14,0.3,FALSE,NA,NA,NA,NA,NA,50,heter,17.333310250506212,1.7223424377597565e-4,153.2695873061828,TRUE
0,18.909705139696598,NA,uniform,0,14,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,15.916414428897875,3.497796355624111e-4,189.09705139696598,TRUE
1,18.797020733356476,NA,lognormal,0,10,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,6.839487859779739,0.032720812688437115,325.57394941099017,FALSE
1,6.447449594736099,NA,neglognormal,0,17,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,53.97008617683108,1.9078520488975756e-12,64.47449594736099,TRUE
-1,29.75921856611967,NA,normal,0,13,0.3,FALSE,NA,NA,NA,NA,NA,100,heter,5.8152793587708045,0.05460446192208942,297.5921856611967,TRUE
-1,27.81536417454481,NA,lognormal,0,11,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,58.145294993134776,2.365427371432544e-13,481.77623981342765,FALSE
0,8.376766979694366,NA,discrete_uniform,0,12,0.6,FALSE,NA,NA,NA,NA,NA,50,heter,1.5728178708336658,0.4554775110923186,59.23268735761441,FALSE
0,3.9106374233961105,NA,neglognormal,0,13,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,9.40054657051371,0.009092791836165598,67.73422707302308,TRUE
-1,1.3028361573815346,NA,lognormal,0,15,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,28.721208411282532,5.797874850463079e-7,22.5657841852262,FALSE
0,10.05202104151249,NA,lognormal,0,10,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,20.348375600847646,3.8142256328760885e-5,174.10611162651057,TRUE
0,9.449351444840431,NA,lognormal,0,17,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,6.219490375210243,0.04461232166459732,94.49351444840431,TRUE
0,2.2682584449648857,NA,uniform,0,11,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,34.060831543797,4.015914017012845e-8,39.28738871376356,TRUE
1,6.122837968170643,NA,uniform,0,12,0.6,FALSE,NA,NA,NA,NA,NA,300,heter,30.74813364236809,2.10439671482322e-7,106.05066447383346,TRUE
0,15.555123701691628,NA,normal,0,12,0.3,FALSE,NA,NA,NA,NA,NA,300,heter,65.48799807953431,6.0181346659056105e-15,269.4226456934877,TRUE
1,3.1076927930116653,NA,uniform,0,14,0.6,FALSE,NA,NA,NA,NA,NA,100,heter,18.378762995046664,1.0211800541854844e-4,31.076927930116653,TRUE
